fecha;servicios
01/04/2020;303
02/04/2020;264
03/04/2020;307
04/04/2020;297
05/04/2020;286
06/04/2020;373
07/04/2020;329
08/04/2020;344
09/04/2020;293
10/04/2020;307
11/04/2020;261
12/04/2020;257
13/04/2020;334
14/04/2020;303
15/04/2020;314
16/04/2020;285
17/04/2020;291
18/04/2020;242
19/04/2020;272
20/04/2020;331
21/04/2020;288
22/04/2020;301
23/04/2020;316
24/04/2020;300
25/04/2020;290
26/04/2020;291
27/04/2020;341
28/04/2020;332
29/04/2020;332
30/04/2020;330
01/05/2020;287
02/05/2020;310
03/05/2020;264
04/05/2020;349
05/05/2020;364
06/05/2020;356
07/05/2020;345
08/05/2020;332
09/05/2020;290
10/05/2020;250
11/05/2020;327
12/05/2020;317
13/05/2020;351
14/05/2020;337
15/05/2020;347
16/05/2020;351
17/05/2020;274
18/05/2020;377
19/05/2020;352
20/05/2020;368
21/05/2020;361
22/05/2020;314
23/05/2020;347
24/05/2020;323
25/05/2020;338
26/05/2020;386
27/05/2020;363
28/05/2020;315
29/05/2020;338
30/05/2020;308
31/05/2020;301
01/06/2020;368
02/06/2020;357
03/06/2020;313
04/06/2020;343
05/06/2020;359
06/06/2020;333
07/06/2020;328
08/06/2020;382
09/06/2020;338
10/06/2020;338
11/06/2020;363
12/06/2020;329
13/06/2020;337
14/06/2020;307
15/06/2020;369
16/06/2020;378
17/06/2020;392
18/06/2020;351
19/06/2020;352
20/06/2020;326
21/06/2020;295
22/06/2020;307
23/06/2020;365
24/06/2020;372
25/06/2020;369
26/06/2020;370
27/06/2020;332
28/06/2020;289
29/06/2020;358
30/06/2020;379
01/07/2020;386
02/07/2020;410
03/07/2020;386
04/07/2020;319
05/07/2020;302
06/07/2020;392
07/07/2020;371
08/07/2020;399
09/07/2020;440
10/07/2020;381
11/07/2020;356
12/07/2020;358
13/07/2020;434
14/07/2020;405
15/07/2020;437
16/07/2020;413
17/07/2020;420
18/07/2020;348
19/07/2020;338
20/07/2020;372
21/07/2020;435
22/07/2020;396
23/07/2020;361
24/07/2020;367
25/07/2020;361
26/07/2020;383
27/07/2020;431
28/07/2020;395
29/07/2020;407
30/07/2020;414
31/07/2020;372
01/08/2020;305
02/08/2020;304
03/08/2020;435
04/08/2020;364
05/08/2020;322
06/08/2020;372
07/08/2020;336
08/08/2020;346
09/08/2020;302
10/08/2020;401
11/08/2020;388
12/08/2020;353
13/08/2020;357
14/08/2020;357
15/08/2020;326
16/08/2020;298
17/08/2020;379
18/08/2020;399
19/08/2020;359
20/08/2020;363
21/08/2020;348
22/08/2020;312
23/08/2020;279
24/08/2020;390
25/08/2020;356
26/08/2020;356
27/08/2020;380
28/08/2020;348
29/08/2020;304
30/08/2020;291
31/08/2020;380
01/09/2020;350
02/09/2020;389
03/09/2020;400
04/09/2020;373
05/09/2020;348
06/09/2020;317
07/09/2020;422
08/09/2020;359
09/09/2020;400
10/09/2020;375
11/09/2020;343
12/09/2020;338
13/09/2020;319
14/09/2020;417
15/09/2020;423
16/09/2020;355
17/09/2020;353
18/09/2020;349
19/09/2020;343
20/09/2020;330
21/09/2020;435
22/09/2020;404
23/09/2020;383
24/09/2020;380
25/09/2020;377
26/09/2020;311
27/09/2020;328
28/09/2020;418
29/09/2020;389
30/09/2020;410
01/10/2020;376
02/10/2020;365
03/10/2020;302
04/10/2020;319
05/10/2020;402
06/10/2020;379
07/10/2020;374
08/10/2020;350
09/10/2020;368
10/10/2020;342
11/10/2020;307
12/10/2020;332
13/10/2020;420
14/10/2020;409
15/10/2020;393
16/10/2020;376
17/10/2020;346
18/10/2020;314
19/10/2020;382
20/10/2020;425
21/10/2020;387
22/10/2020;388
23/10/2020;377
24/10/2020;368
25/10/2020;349
26/10/2020;429
27/10/2020;388
28/10/2020;329
29/10/2020;331
30/10/2020;360
31/10/2020;282
01/11/2020;287
02/11/2020;347
03/11/2020;391
04/11/2020;385
05/11/2020;353
06/11/2020;354
07/11/2020;334
08/11/2020;285
09/11/2020;418
10/11/2020;327
11/11/2020;406
12/11/2020;430
13/11/2020;342
14/11/2020;305
15/11/2020;313
16/11/2020;353
17/11/2020;421
18/11/2020;420
19/11/2020;387
20/11/2020;357
21/11/2020;327
22/11/2020;357
23/11/2020;426
24/11/2020;408
25/11/2020;372
26/11/2020;382
27/11/2020;344
28/11/2020;326
29/11/2020;369
30/11/2020;389
01/12/2020;379
02/12/2020;386
03/12/2020;393
04/12/2020;365
05/12/2020;350
06/12/2020;366
07/12/2020;378
08/12/2020;366
09/12/2020;405
10/12/2020;396
11/12/2020;410
12/12/2020;366
13/12/2020;329
14/12/2020;461
15/12/2020;404
16/12/2020;408
17/12/2020;416
18/12/2020;416
19/12/2020;359
20/12/2020;319
21/12/2020;423
22/12/2020;395
23/12/2020;354
24/12/2020;293
25/12/2020;305
26/12/2020;350
27/12/2020;352
28/12/2020;409
29/12/2020;446
30/12/2020;393
31/12/2020;313
01/01/2021;279
02/01/2021;383
03/01/2021;378
04/01/2021;441
05/01/2021;374
06/01/2021;398
07/01/2021;424
08/01/2021;384
09/01/2021;349
10/01/2021;371
11/01/2021;384
12/01/2021;418
13/01/2021;377
14/01/2021;366
15/01/2021;425
16/01/2021;364
17/01/2021;371
18/01/2021;429
19/01/2021;394
20/01/2021;393
21/01/2021;365
22/01/2021;395
23/01/2021;336
24/01/2021;368
25/01/2021;394
26/01/2021;409
27/01/2021;384
28/01/2021;364
29/01/2021;406
30/01/2021;373
31/01/2021;327
01/02/2021;397
02/02/2021;386
03/02/2021;347
04/02/2021;383
05/02/2021;402
06/02/2021;365
07/02/2021;314
08/02/2021;434
09/02/2021;346
10/02/2021;375
11/02/2021;418
12/02/2021;383
13/02/2021;326
14/02/2021;305
15/02/2021;356
16/02/2021;354
17/02/2021;377
18/02/2021;387
19/02/2021;394
20/02/2021;359
21/02/2021;336
22/02/2021;417
23/02/2021;392
24/02/2021;428
25/02/2021;436
26/02/2021;397
27/02/2021;311
28/02/2021;309
01/03/2021;338
02/03/2021;370
03/03/2021;404
04/03/2021;347
05/03/2021;396
06/03/2021;366
07/03/2021;320
08/03/2021;316
09/03/2021;389
10/03/2021;359
11/03/2021;342
12/03/2021;357
13/03/2021;338
14/03/2021;382
15/03/2021;422
16/03/2021;378
17/03/2021;437
18/03/2021;386
19/03/2021;398
20/03/2021;303
21/03/2021;328
22/03/2021;330
23/03/2021;414
24/03/2021;406
25/03/2021;442
26/03/2021;360
27/03/2021;365
28/03/2021;371
29/03/2021;433
30/03/2021;430
31/03/2021;386
01/04/2021;313
02/04/2021;348
03/04/2021;379
04/04/2021;379
05/04/2021;482
06/04/2021;458
07/04/2021;415
08/04/2021;423
09/04/2021;407
10/04/2021;380
11/04/2021;322
12/04/2021;463
13/04/2021;425
14/04/2021;456
15/04/2021;407
16/04/2021;421
17/04/2021;355
18/04/2021;392
19/04/2021;450
20/04/2021;423
21/04/2021;399
22/04/2021;403
23/04/2021;368
24/04/2021;386
25/04/2021;378
26/04/2021;450
27/04/2021;338
28/04/2021;147
29/04/2021;279
30/04/2021;237
01/05/2021;206
